MADAD,T,T-1,YIELD_T,MADAD_12,YIELD_12,MADAD_36,YIELD_36,MADAD_60,YIELD_60
TA35,1999.93,1950.12,2.55%,1744.92,14.61%,1697.17,17.84%,1544.44,29.49%
TA125,1861.92,1887.08,-1.33%,1822.84,2.14%,1624.13,14.64%,1413.16,31.76%
SP500,4845.65,4769.83,1.59%,4076.6,18.86%,3714.24,30.46%,2704.1,79.20%
NDX,17137.24,16825.93,1.85%,12101.93,41.61%,12925.38,32.59%,6906.84,148.12%
FTSE,7630.57,7733.24,-1.33%,7784.77,-1.98%,6407.46,19.09%,6968.15,9.51%
GDAXI,16903.76,16751.64,0.91%,15128.27,11.74%,13432.87,25.84%,11173.1,51.29%
ACWIO,102.05,101.77,0.28%,91.25,11.84%,90.44,12.84%,69.32,47.22%
TELBOND20,377.11,376.56,0.15%,365.71,3.12%,370.21,1.86%,346.73,8.76%
TELBOND60,368.58,367.83,0.20%,354.79,3.89%,357.5,3.10%,336.29,9.60%
TELBONDILS,396.57,395.77,0.20%,379.99,4.36%,392.14,1.13%,366.18,8.30%
ALLCORPB,377.55,375.94,0.43%,358.68,5.26%,354.07,6.63%,328.37,14.98%
HYG,77.48,77.39,0.12%,76.33,1.51%,86.97,-10.91%,84.72,-8.55%
LGCPTRUU,270.91,272.48,-0.58%,258.56,4.78%,304.35,-10.99%,255.5,6.03%
ALLGOVB,360.36,362.02,-0.46%,365.07,-1.29%,387.8,-7.08%,355.18,1.46%
CPIGOVB,363.2,365.62,-0.66%,374.48,-3.01%,381.19,-4.72%,344.38,5.46%
ALLNONLGOVB,410.98,412.34,-0.33%,411.53,-0.13%,448.74,-8.41%,414.77,-0.91%
tbills,291.08,289.97,0.38%,279.32,4.21%,279.09,4.30%,277.95,4.72%
CPIGOV25,286.19,285.51,0.24%,277.15,3.26%,277.13,3.27%,275.99,3.70%
CPIGOV510,365.4,367.04,-0.45%,369.27,-1.05%,382.49,-4.47%,356.3,2.55%
FIXGOV25,434.32,433.86,0.11%,420.37,3.32%,452.38,-3.99%,435.62,-0.30%
FIXGOV510,464.56,467.5,-0.63%,463.37,0.26%,529.28,-12.23%,478.11,-2.83%
STOXX,485.67,479.02,1.39%,453.21,7.16%,395.85,22.69%,358.67,35.41%
usd,3.635,3.627,0.22%,3.475,4.60%,3.291,10.45%,3.642,-0.19%
euro,3.9398,4.0116,-1.79%,3.7646,4.65%,3.9871,-1.19%,4.1856,-5.87%
